"id","title","time","director","year","star","cost"
124,"Star Trek (2009)    ","2 hours, 7 minutes","J.J. Abrams",2009,"Chris Pine, Zachary Quinto","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
125,"Once Upon A Time: Season 3 "," 946 minutes ",,08/19/14,"Jennifer Morrison",$23.66
126,"The Hunger Games (2-Disc DVD + Digital Copy) "," 142 minutes ","Gary Ross",08/18/12,"Jennifer Lawrence",$6.75
127,"The Hobbit: The Desolation of Smaug    ","2 hours, 42 minutes","Peter Jackson",2013,"Ian McKellen, Martin Freeman","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
128,"Arrow   ","43 minutes","Glen Winter",2014,"Stephen Amell, Katie Cassidy","Buy SD $1.99,Buy HD $29.99,Buy SD $29.99,"
129,"Minority Report    ","2 hours, 26 minutes","Steven Spielberg",2002,"Tom Cruise, Max von Sydow","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
130,"Oblivion    ","2 hours, 5 minutes","Joseph Kosinski",2013,"Tom Cruise, Morgan Freeman","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
131,"Inception (Blu-ray) "," 148 minutes ","Christopher Nolan",12/07/10,"Leonardo DiCaprio",$7.50
132,"Divergent "," 139 minutes ",,08/05/14,"Shailene Woodley",$9.96
133,"Man of Steel (2013)    ","2 hours, 23 minutes","Zack Snyder",2013,"Henry Cavill, Amy Adams","Buy HD $17.99,Buy SD $9.99,"
134,"Boy Wonder    ","1 hour, 37 minutes","Michael Morrissey",2011,"Caleb Steinmeyer, Zulay Henao","Buy SD $4.99,"
135,"Skyfall    ","2 hours, 24 minutes","Sam Mendes",2012,"Daniel Craig, Judi Dench","Buy HD $13.99,Buy SD $12.99,"
136,"Tombstone "," 130 minutes ","George P. Cosmatos",12/02/97,"Kurt Russell",$6.76
137,"Big Trouble in Little China [Blu-ray] "," 100 minutes ","John Carpenter",08/04/09,"Kurt Russell",$4.99
138,"The Hunger Games: Catching Fire (DVD + UltraViolet Digital Copy) "," 146 minutes ","Francis Lawrence",03/07/14,"Jennifer Lawrence",$9.96
139,"The Hobbit: An Unexpected Journey    ","2 hours, 50 minutes","Peter Jackson",2012,"Ian McKellen, Martin Freeman","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
140,"Star Trek: The Complete Original Series (Seasons 1-3) [Blu-ray] "," 4120 minutes ","Anton Leader",12/15/09,"William Shatner",$74.79
141,"Godzilla (2014)    ","2 hours, 4 minutes","Gareth Edwards",2014,"Aaron Taylor-Johnson, CJ Adams","Buy HD $17.99,Buy SD $9.99,"
142,"Fury [Blu-ray] "," 134 minutes ","David Ayer",01/27/15,"Brad Pitt",$14.99
143,"Stargate Universe   ","44 minutes","Andy Mikita",2010,"Robert Carlyle, Louis Ferreira","Buy SD $1.99,Buy HD $29.99,Buy SD $19.99,"
144,"Justice League Unlimited: The Complete Series (BD)(MOD) [Blu-ray] "," 897 minutes ",,,,$32.39
145,"The Lord Of The Rings: The Fellowship Of The Ring    ","2 hours, 59 minutes","Peter Jackson",2001,"Alan Howard, Noel Appleby","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
146,"Thor: The Dark World (With Digital-Exclusive Bonus Features)    ","2 hours, 58 minutes","Alan Taylor",2013,"Chris Hemsworth, Natalie Portman","Buy HD $19.99,Buy SD $14.99,"
147,"Princess Warrior    ","1 hour, 24 minutes","Lindsay Norgard",1989,"Sharon Lee Jones,Dana Fredsti","Buy SD $9.99,"
148,"24: Redemption    ","1 hour, 43 minutes","Jon Cassar",2008,"Kiefer Sutherland, Cherry Jones","Buy HD $14.99,Buy SD $9.99,"
149,"Hobo With A Shotgun    ","1 hour, 27 minutes","Jason Eisener",2011,"Rutger Hauer, Pasha Ebrahimi","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
150,24,"44 minutes","Jon Cassar",2007,"Kiefer Sutherland, Mary Lynn Rajskub","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
151,"The Pirate    ","1 hour, 43 minutes","Yannis Smaragdis",2012,"Sebastian Koch, Evgeniy Stychkin","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $8.99,"
152,24,"43 minutes","Jon Cassar",2006,"Kiefer Sutherland, Kim Raver","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
153,"Captain America: The First Avenger    ","2 hours, 5 minutes","Joe Johnston",2011,"Chris Evans, Hayley Atwell","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
154,24,"47 minutes","Jon Cassar",2009,"Kiefer Sutherland, Cherry Jones","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
155,24,"43 minutes","Jon Cassar",2005,"Kiefer Sutherland, Kim Raver","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
156,"Dragon Blade    ","1 hour, 44 minutes","Daniel Lee",2015,"Jackie Chan,John Cusack","Rent HD $6.99,Rent SD $6.99,"
157,"Monty Python and the Holy Grail (Special Edition) "," 92 minutes ","Terry Gilliam",10/23/01,"Graham Chapman",$8.32
158,"The Matrix    ","2 hours, 17 minutes","Andy Wachowski",1999,"Keanu Reeves, Laurence Fishburne","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
159,"Doctor Who   ","54 minutes","Nick Hurran",2012,"Matt Smith, Karen Gillan","Buy SD $1.99,Buy SD $8.99,"
160,"Captain America: The First Avenger (Two-Disc Blu-ray/DVD Combo + Digital Copy) "," 123 minutes ","Joe Johnston",09/24/13,"Chris Evans",$19.96
161,"Pathfinders: In The Company Of Strangers    ","1 hour, 36 minutes","Curt A. Sindelar",2013,"Christopher Serrone, Michael Conner Humphreys","Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
162,"Spider-Man Trilogy [Blu-ray] "," 523 minutes ",,04/22/14,,$13.75
163,"Avatar (Blu-ray 3D + Blu-ray/ DVD Combo Pack) "," 162 minutes ","James Cameron",10/16/12,"Sam Worthington",$22.99
164,"Fury    ","2 hours, 15 minutes","David Ayer",2014,"Brad Pitt, Shia LaBeouf","Buy HD $17.99,Buy SD $13.99,"
165,"Stargate Atlantis   ","50 minutes","Andy Mikita",2008,"Joe Flanigan, Rachel Luttrell","Buy SD $1.99,Buy HD $29.99,Buy SD $19.99,"
166,"Stargate Atlantis   ","44 minutes","Martin Wood",2006,"Joe Flanigan, Torri Higginson","Buy SD $1.99,Buy HD $29.99,Buy SD $19.99,"
167,"Stargate Atlantis   ","44 minutes","Martin Wood",2007,"Joe Flanigan, Amanda Tapping","Buy SD $1.99,Buy HD $29.99,Buy SD $19.99,"
168,"Inception    ","2 hours, 29 minutes","Christopher Nolan",2010,"Leonardo DiCaprio, Joseph Gordon-Levitt","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
169,"Battlestar Galactica: The Complete Series [Blu-ray] "," 44 minutes ",,09/22/09,"Edward James Olmos",$63.99
170,"The Lost World: Jurassic Park    ","2 hours, 10 minutes","Steven Spielberg",1997,"Jeff Goldblum, Julianne Moore","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
171,"Sons of Liberty    ","1 hour, 35 minutes","Drew Hall",2012,"Tamer Hassan, Keith David","Rent SD $2.99,Buy SD $4.99,"
172,24,"52 minutes","Jon Cassar",2003,"Kiefer Sutherland, Elisha Cuthbert","Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
173,"Lawrence Of Arabia    ","3 hours, 48 minutes","David Lean",1989,"Peter O'Toole, Alec Guinness","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
174,"Game of Thrones   ","55 minutes","Daniel Minahan",2013,"Peter Dinklage, Lena Headey","Buy SD $2.99,Buy HD $38.99,Buy SD $28.99,"
175,"Indiana Jones and the Raiders of the Lost Ark    ","1 hour, 56 minutes","Steven Spielberg",1981,"Harrison Ford, Karen Allen","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
